# Texas-specific zoom: median hourly wages for direct-care occupations
# vs. competing low-credential jobs that draw from the same labor pool.
#
# All values are May 2024 BLS OEWS state median hourly wages for Texas,
# in nominal dollars (the comparison is contemporaneous so no
# deflation needed).
#
# Care occupations:
#   - hha:        Home health aides (SOC 31-1121)
#   - pca:        Personal care aides (SOC 31-1122)
#   - cna:        Nursing assistants (SOC 31-1131)
#   - dsp:        Direct support professionals (no clean SOC; approximated
#                 from psychiatric aides 31-1133 plus residential
#                 community care aides; widely cited industry surveys
#                 from ANCOR put TX DSP median in the $13-14 range).
#
# Competing low-credential jobs in Texas:
#   - warehouse:  Stockers and order fillers (SOC 53-7065)
#   - retail:     Retail salespersons (SOC 41-2031)
#   - fastfood:   Fast food and counter workers (SOC 35-3023)
#   - amazon:     Amazon FC starting wage (TX metros, public posting)
#
# Source: BLS OEWS May 2024 Texas state estimates,
# https://www.bls.gov/oes/current/oes_tx.htm. DSP wage from ANCOR
# State of America's Direct Support Workforce Crisis report.
occupation,group,median_wage_2024
hha,care,13.20
pca,care,13.95
cna,care,15.80
dsp,care,13.60
warehouse,competitor,17.40
retail,competitor,14.85
fastfood,competitor,11.95
amazon,competitor,19.50
